Geographic Area Name,0,1,2,3,4,5
"Bolivar County, Mississippi",11591,22030,108,245,32,365
"Adams County, Mississippi",14122,17538,235,178,21,695
"Alcorn County, Mississippi",32014,4388,216,152,14,668
"Amite County, Mississippi",7622,5471,52,33,6,26
"Attala County, Mississippi",11100,8276,90,74,9,155
"Benton County, Mississippi",5354,3286,71,10,7,95
"Coahoma County, Mississippi",6065,19851,54,160,15,157
"Calhoun County, Mississippi",10242,4243,72,27,5,544
"Carroll County, Mississippi",7028,3516,52,37,8,63
"Chickasaw County, Mississippi",9516,7405,67,73,12,492
"Choctaw County, Mississippi",5926,2614,59,30,6,17
"Claiborne County, Mississippi",1403,8143,33,47,6,34
"Clarke County, Mississippi",10821,5819,89,37,13,54
"Clay County, Mississippi",8425,12099,80,74,11,85
"Issaquena County, Mississippi",488,907,5,6,0,3
"Copiah County, Mississippi",13798,15132,133,126,20,488
"Covington County, Mississippi",12455,6907,66,66,15,228
"DeSoto County, Mississippi",118673,36375,1074,2584,187,5041
"Kemper County, Mississippi",3732,6344,432,14,5,11
"Jefferson Davis County, Mississippi",4896,7532,59,33,8,51
"Forrest County, Mississippi",45559,27665,517,675,86,1564
"Franklin County, Mississippi",5295,2818,42,9,4,8
"George County, Mississippi",20460,1891,175,68,11,192
"Greene County, Mississippi",10555,3816,91,30,4,41
"Grenada County, Mississippi",12591,9234,104,85,11,52
"Hancock County, Mississippi",39702,3505,598,606,63,458
"Harrison County, Mississippi",134628,43621,2212,6752,525,4751
"Hinds County, Mississippi",71276,170929,1051,2252,177,1984
"Holmes County, Mississippi",3070,16108,55,43,10,37
"Humphreys County, Mississippi",2251,7042,27,40,0,87
"Jefferson County, Mississippi",1075,6641,25,6,5,4
"Jones County, Mississippi",46032,19446,529,404,50,1985
"Lafayette County, Mississippi",34398,11407,261,1175,49,598
"Lamar County, Mississippi",43568,11169,315,758,37,456
"Monroe County, Mississippi",25279,11587,171,98,20,134
"Itawamba County, Mississippi",21753,1448,111,60,5,171
"Jackson County, Mississippi",102991,31195,1349,3749,183,3009
"Jasper County, Mississippi",7963,9040,45,31,23,73
"Neshoba County, Mississippi",18266,6442,5067,152,16,185
"Noxubee County, Mississippi",3173,8301,40,32,8,54
"Lauderdale County, Mississippi",44466,34739,349,710,78,632
"Lawrence County, Mississippi",8702,4012,57,53,3,202
"Leake County, Mississippi",11942,9755,1530,73,10,708
"Lee County, Mississippi",58380,23239,382,686,49,1275
"Leflore County, Mississippi",8157,23495,136,216,26,514
"Lincoln County, Mississippi",24072,10596,167,161,17,138
"Lowndes County, Mississippi",32786,26327,324,577,56,427
"Madison County, Mississippi",54860,36718,375,2307,73,1728
"Marion County, Mississippi",18030,8879,123,134,18,154
"Marshall County, Mississippi",18857,17603,187,115,15,691
"Montgomery County, Mississippi",5826,5001,36,47,2,68
"Newton County, Mississippi",13895,6660,1181,72,3,105
"Oktibbeha County, Mississippi",28686,17724,249,1337,42,250
"Tunica County, Mississippi",2614,7980,42,80,27,149
"Panola County, Mississippi",17403,17048,211,109,15,244
"Pearl River County, Mississippi",47835,7231,766,383,72,597
"Perry County, Mississippi",9686,2520,78,28,3,58
"Warren County, Mississippi",24877,23161,266,498,29,404
"Wayne County, Mississippi",12429,8165,88,66,23,155
"Union County, Mississippi",22276,4112,129,87,21,848
"Tishomingo County, Mississippi",18667,580,104,38,11,368
"Pike County, Mississippi",18981,20987,241,279,27,227
"Pontotoc County, Mississippi",24354,4318,238,92,26,1368
"Prentiss County, Mississippi",21557,3648,111,58,6,162
"Quitman County, Mississippi",2417,5770,53,16,1,32
"Rankin County, Mississippi",110834,27315,713,1887,148,2300
"Scott County, Mississippi",15328,10812,202,79,70,2189
"Sharkey County, Mississippi",1382,3512,7,14,3,21
"Simpson County, Mississippi",17437,9785,136,112,45,225
"Smith County, Mississippi",12583,3823,49,25,2,100
"Stone County, Mississippi",14158,3463,170,101,10,80
"Sunflower County, Mississippi",7561,21581,114,105,23,209
"Tallahatchie County, Mississippi",6125,8766,105,135,17,428
"Tate County, Mississippi",19625,8929,171,112,23,394
"Tippah County, Mississippi",18077,3737,123,47,8,566
"Walthall County, Mississippi",8375,6963,122,66,25,82
"Washington County, Mississippi",13992,36668,159,344,24,275
"Webster County, Mississippi",8130,2087,48,23,3,43
"Wilkinson County, Mississippi",2860,7011,29,6,1,7
"Winston County, Mississippi",10109,8858,262,52,6,81
"Yalobusha County, Mississippi",7761,4886,61,31,3,55
"Yazoo County, Mississippi",11559,16156,184,168,25,440
