Geographic Area Name,0,1,2,3,4,5
"Warren County, New Jersey",99781,4591,587,3170,95,2484
"Salem County, New Jersey",53966,10213,640,732,42,2023
"Somerset County, New Jersey",233142,31636,1724,49166,313,16322
"Sussex County, New Jersey",141681,3456,857,3416,112,2318
"Union County, New Jersey",341608,124484,4659,28398,907,54153
"Mercer County, New Jersey",232582,78537,2910,35838,871,26670
"Middlesex County, New Jersey",490635,86386,6580,182852,1214,67802
"Monmouth County, New Jersey",530903,51481,3605,35416,705,21651
"Morris County, New Jersey",415379,18374,2264,48611,405,18180
"Ocean County, New Jersey",532061,21416,2923,12190,430,16684
"Camden County, New Jersey",345203,107906,4485,29460,663,40696
"Atlantic County, New Jersey",186304,48135,2906,22835,384,23625
"Bergen County, New Jersey",668395,59235,5016,140413,1259,55012
"Burlington County, New Jersey",341438,82042,4079,23210,643,11880
"Hunterdon County, New Jersey",118742,3929,564,4953,110,1882
"Cape May County, New Jersey",89019,5542,660,1130,99,2814
"Cumberland County, New Jersey",102517,34752,3316,2496,225,19601
"Essex County, New Jersey",350939,332042,7007,40993,1644,78096
"Gloucester County, New Jersey",246027,32441,1982,9050,287,5198
"Hudson County, New Jersey",362592,93248,7828,91810,1614,106846
"Passaic County, New Jersey",328081,70517,6124,29024,977,86234
