1,2,3,4,5,6,7
752969,526850,136236,6150,37463,920,45350
754344,558082,106586,8346,30163,833,50334
751278,610831,87475,5301,29262,819,17590
746555,630467,54352,3864,31743,842,25287
749035,602690,39104,4245,73026,942,29028
756105,469520,82883,6337,131267,1138,64960
748305,619472,34937,3152,66215,651,23878
769769,447921,91978,9742,64529,1747,153852
760738,454436,91868,7365,94964,1344,110761
758351,227031,404509,7340,53128,1912,64431
747876,622276,30893,2992,70749,578,20388
755082,441419,139542,5882,112654,1273,54312
