Geographic Area Name,0,1,2,3,4,5
"Jefferson County, Ohio",65199,4660,427,428,48,234
"Mahoning County, Ohio",195006,40500,1808,2364,180,4310
"Lake County, Ohio",215963,9106,1141,3388,156,4059
"Lawrence County, Ohio",60678,1768,417,330,21,153
"Licking County, Ohio",158164,7309,1454,1787,124,1009
"Madison County, Ohio",39988,3199,308,329,23,272
"Lucas County, Ohio",339206,92260,4246,8801,382,11904
"Logan County, Ohio",44550,1280,363,366,32,196
"Lorain County, Ohio",263438,30995,3062,3976,267,9255
"Monroe County, Ohio",14524,92,134,38,6,30
"Marion County, Ohio",61645,4459,469,448,62,627
"Medina County, Ohio",167628,2834,944,2154,60,890
"Meigs County, Ohio",23423,319,191,92,1,56
"Mercer County, Ohio",40116,247,223,256,78,287
"Miami County, Ohio",98447,3137,665,1494,42,615
"Perry County, Ohio",35770,212,385,80,30,102
"Montgomery County, Ohio",406488,119559,4628,12254,548,5727
"Morgan County, Ohio",14486,783,278,48,7,46
"Morrow County, Ohio",34467,265,295,147,27,116
"Muskingum County, Ohio",82026,4776,824,469,54,297
"Noble County, Ohio",14185,400,107,39,7,33
"Ottawa County, Ohio",40502,550,230,176,19,533
"Paulding County, Ohio",19070,288,189,62,6,343
"Richland County, Ohio",111108,13120,956,1097,112,609
"Pickaway County, Ohio",53309,2165,387,324,25,203
"Pike County, Ohio",28195,435,410,92,11,62
"Portage County, Ohio",151473,8080,1136,2884,136,669
"Preble County, Ohio",41725,333,356,239,15,139
"Putnam County, Ohio",33311,183,137,113,9,1074
"Stark County, Ohio",340942,34010,3253,3754,244,2332
"Ross County, Ohio",72393,5740,882,470,46,301
"Sandusky County, Ohio",57120,2486,439,310,32,2217
"Scioto County, Ohio",76354,2715,1115,350,57,356
"Seneca County, Ohio",54187,1945,345,410,28,951
"Shelby County, Ohio",47678,1486,271,533,89,331
"Summit County, Ohio",446769,85046,4185,14311,373,3620
"Trumbull County, Ohio",190582,19704,1456,1469,118,978
"Van Wert County, Ohio",28155,438,134,116,10,313
"Tuscarawas County, Ohio",90477,1188,650,435,220,796
"Union County, Ohio",49281,1494,359,1667,45,256
"Vinton County, Ohio",13301,83,150,43,6,21
"Warren County, Ohio",195373,8004,1151,9550,220,1784
"Belmont County, Ohio",67075,3386,378,364,22,153
"Allen County, Ohio",91659,14616,790,1043,71,1139
"Adams County, Ohio",28251,144,376,67,6,93
"Ashtabula County, Ohio",96058,4820,870,588,76,1355
"Ashland County, Ohio",52190,593,294,390,82,171
"Athens County, Ohio",60708,2365,739,2088,59,338
"Brown County, Ohio",44169,529,306,168,18,115
"Auglaize County, Ohio",45374,312,246,262,38,197
"Butler County, Ohio",323820,31121,2496,10555,503,7940
"Carroll County, Ohio",28493,252,248,88,9,84
"Champaign County, Ohio",38713,1324,426,229,23,212
"Darke County, Ohio",52256,468,261,248,22,229
"Clark County, Ohio",122670,14415,1287,1294,152,2325
"Clermont County, Ohio",191819,3297,1343,2544,138,1031
"Clinton County, Ohio",40559,1383,334,309,36,249
"Columbiana County, Ohio",104291,3123,710,500,65,658
"Coshocton County, Ohio",36224,641,225,150,5,101
"Crawford County, Ohio",43026,607,241,214,16,197
"Cuyahoga County, Ohio",835527,396157,8991,39136,1203,28443
"Franklin County, Ohio",835249,268432,11292,53189,1756,31763
"Defiance County, Ohio",36930,998,304,178,27,1437
"Delaware County, Ohio",159242,7133,1001,8690,152,1466
"Erie County, Ohio",69063,8095,749,606,28,773
"Fayette County, Ohio",27954,908,196,205,18,284
"Fairfield County, Ohio",134451,10097,1253,2311,137,1045
"Fulton County, Ohio",41142,341,287,272,29,1281
"Gallia County, Ohio",29763,1087,336,176,4,91
"Geauga County, Ohio",91246,1469,343,794,40,316
"Knox County, Ohio",59650,793,371,507,50,330
"Greene County, Ohio",143414,13716,1567,5967,245,1169
"Guernsey County, Ohio",39164,1014,365,184,23,135
"Hamilton County, Ohio",567032,216782,5806,20016,1075,10431
"Hancock County, Ohio",71062,1782,461,1506,34,1345
"Hardin County, Ohio",31394,446,204,256,19,178
"Harrison County, Ohio",15463,474,113,41,9,38
"Henry County, Ohio",27212,192,205,149,4,831
"Highland County, Ohio",42674,963,350,169,11,115
"Hocking County, Ohio",28953,323,272,91,15,84
"Holmes County, Ohio",42032,203,148,74,31,114
"Huron County, Ohio",57480,1038,437,282,54,1342
"Jackson County, Ohio",32713,319,391,149,23,95
"Washington County, Ohio",60456,1072,571,483,37,182
"Wayne County, Ohio",111077,2490,693,1148,80,741
"Williams County, Ohio",36553,489,242,274,15,534
"Wood County, Ohio",118442,3799,919,2472,82,2094
"Wyandot County, Ohio",22152,110,127,173,7,289
