1,2,3,4,5,6,7
736367,531468,167722,4930,21852,1035,9360
734972,645740,66675,6044,11282,514,4717
749200,437211,249895,8453,26146,1402,26093
737258,668796,46056,5525,7244,578,9059
733665,682329,22400,4679,10995,442,12820
731636,698918,20683,5486,3832,338,2379
733489,681914,34990,5420,5654,676,4835
736187,655615,49524,5104,13852,764,11328
747221,566147,130917,7651,11967,742,29797
740061,573207,134113,6354,18410,806,7171
739856,297783,402977,6062,18662,657,13715
736971,658313,40471,5287,26696,592,5612
738363,620840,93521,5857,10235,561,7349
732038,671991,32350,3554,16634,423,7086
735332,672424,32688,6004,17853,536,5827
731282,688851,16789,3714,16978,459,4491
